Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
250 20150424 20:52:33 96 0 4 0 0 0 0 0 100 1044 2096 0 293 4 2.36 2.53 2.52 4 0 4016700 3790484 226216 0 38144 2548656 43124 47868 1138752 1864292 0 8120316 328 8119988 0 0 72 0 0 2459304 17182 7 9758 0 0 0 0 9300 20 15 18 11 0 0 0 0 0 133 1 134 17169 7 17176 2 1 2
260 20150424 20:52:43 96 0 4 0 0 0 0 0 100 1020 2067 0 293 2 2.31 2.52 2.51 2 0 4016700 3788880 227820 0 38144 2547800 43116 47868 1138300 1863912 0 8120316 328 8119988 0 0 64 0 0 2458448 17166 3 10828 0 0 0 0 9296 8 9 2 11 0 0 0 0 0 134 0 134 17179 3 17182 1 0 1
270 20150424 20:52:53 96 0 3 0 0 0 0 0 100 1058 2082 1 293 4 2.26 2.50 2.51 4 0 4016700 3806976 209724 0 38144 2564320 43112 47868 1139264 1864816 0 8120316 328 8119988 0 0 96 0 0 2475076 17012 1 9698 0 0 0 0 9300 24 30 13 36 0 0 0 0 0 131 0 131 17012 1 17014 2 0 2
280 20150424 20:53:03 96 0 3 0 0 0 0 0 100 1026 2054 0 293 2 2.22 2.48 2.50 2 0 4016700 3798800 217900 0 38144 2557572 43120 47868 1137804 1863320 0 8120316 328 8119988 0 0 68 0 0 2468432 17232 8 9049 0 0 0 0 9300 21 24 12 29 0 0 0 0 0 132 1 134 17232 8 17240 3 0 3
290 20150424 20:53:13 96 0 3 0 0 1 0 0 100 1038 2035 0 293 2 2.35 2.50 2.51 2 0 4016700 3771884 244816 0 38136 2528868 43096 47868 1140224 1865708 0 8120316 328 8119988 0 0 76 0 0 2439632 16656 2 10041 0 0 0 0 9288 33 33 25 35 0 0 0 0 0 129 0 129 16656 2 16658 1 0 2
300 20150424 20:53:23 96 0 3 0 0 0 0 0 100 1051 2067 1 293 2 2.37 2.50 2.51 2 0 4016700 3804992 211708 0 38144 2563944 43116 47868 1137436 1863680 0 8120316 328 8119988 0 0 76 0 0 2474728 16837 3 10598 0 0 0 0 9300 36 38 27 39 0 0 0 0 0 130 0 131 16837 3 16840 2 0 2
310 20150424 20:53:33 96 0 3 0 0 0 0 0 100 1022 2019 1 293 2 2.46 2.52 2.51 2 0 4016700 3800652 216048 0 38136 2557604 43124 47868 1139396 1864936 0 8120316 328 8119988 0 0 72 0 0 2468360 16746 6 10833 0 0 0 0 9300 28 31 18 34 0 0 0 0 0 129 0 130 16746 6 16752 2 0 2
320 20150424 20:53:43 96 0 4 0 0 0 0 0 100 1050 2094 0 293 5 2.39 2.50 2.51 2 0 4016700 3790120 226580 0 38140 2548212 43116 47868 1138776 1864316 0 8120316 328 8119988 0 0 48 0 0 2458900 17026 6 11273 0 0 0 0 9300 8 9 1 11 0 0 0 0 0 131 1 132 17026 6 17032 2 0 2
330 20150424 20:53:53 96 0 4 0 0 0 0 0 100 1096 2109 0 293 2 2.49 2.52 2.51 2 0 4016700 3773380 243320 0 38140 2530816 43128 47868 1139604 1865260 0 8120316 328 8119988 0 0 64 0 0 2441516 16400 2 10096 0 0 0 0 9308 15 13 11 12 0 0 0 0 0 127 0 127 16387 2 16389 2 0 2
340 20150424 20:54:03 96 0 3 0 0 0 0 0 100 1034 2110 1 294 2 2.41 2.50 2.51 2 0 4016700 3777340 239360 0 38140 2535564 43104 47868 1138676 1864404 0 8120316 328 8119988 0 0 76 0 0 2446312 17561 2 9060 0 0 0 0 9292 9 10 2 11 0 0 0 0 0 135 0 135 17561 2 17563 3 0 3
350 20150424 20:54:13 96 0 3 0 0 0 0 0 100 1017 2001 0 293 2 2.43 2.50 2.50 2 1 4016700 3793460 223240 0 38148 2552108 43112 47868 1137812 1863284 0 8120316 328 8119988 0 0 72 0 0 2462980 16102 4 10071 0 0 0 0 9292 22 20 18 18 0 0 0 0 0 125 1 125 16090 4 16094 1 0 2
360 20150424 20:54:23 96 0 4 0 0 0 0 0 100 1369 2014 1 295 3 2.51 2.52 2.51 3 0 4016700 3788632 228068 0 38140 2547628 43104 47868 1137792 1863212 0 8120316 328 8119988 0 0 80 0 0 2458284 16280 1 9785 0 0 0 0 9292 241 472 33 688 0 0 0 0 0 127 0 127 16293 1 16294 1 0 1
370 20150424 20:54:33 90 0 3 1 0 2 0 5 95 4195 2144 1 296 2 2.43 2.50 2.50 4 1 4016700 3776256 240444 0 38148 2533100 43140 47868 1140388 1866376 0 8120316 328 8119988 0 0 48 0 0 2443832 20292 9 10403 0 0 0 0 9316 2040 4327 152 6397 0 0 0 0 0 157 1 158 20277 9 20286 2 1 3
380 20150424 20:54:43 88 0 3 1 0 2 0 6 94 4606 2334 1 298 2 2.69 2.55 2.52 2 4 4016700 3751868 264832 0 38140 2509724 43264 47868 1138524 1864084 0 8120316 328 8119988 0 0 52 0 0 2420504 23654 3 10025 0 0 0 0 9356 2732 5855 198 8631 0 0 0 0 0 164 0 164 23566 3 23568 22 0 22
390 20150424 20:54:53 92 0 3 0 0 2 0 2 98 5168 2386 0 298 2 2.66 2.55 2.52 2 0 4016700 3789920 226780 0 38156 2547784 43204 47868 1138308 1863772 0 8120316 328 8119988 0 0 84 0 0 2458536 27342 4 11053 0 0 0 0 9332 3703 8146 254 12048 0 0 0 0 0 194 1 195 27445 4 27449 20 0 21
400 20150424 20:55:03 88 0 3 3 0 2 0 4 93 5156 2390 1 298 2 2.63 2.54 2.52 2 0 4016700 3793788 222912 0 38148 2553140 43184 47868 1137832 1863500 0 8120316 328 8119988 0 0 92 0 0 2463844 26727 3 9251 2 0 0 0 9348 3711 8148 274 12048 0 0 0 0 0 194 0 195 26727 3 26730 18 0 18
410 20150424 20:55:13 90 0 3 0 0 3 0 4 96 5165 2373 0 298 2 2.62 2.54 2.52 2 0 4016700 3760532 256168 0 38148 2517704 43144 47868 1138924 1864696 0 8120316 328 8119988 0 0 72 0 0 2428580 26583 9 9556 0 0 0 0 9332 3722 8150 273 12048 0 0 0 0 0 196 1 197 26596 9 26604 13 1 14
420 20150424 20:55:23 92 0 4 0 0 2 0 2 98 5208 2436 1 298 2 2.83 2.59 2.53 2 0 4016700 3751008 265692 0 38140 2509456 43176 47868 1137948 1863448 0 8120316 328 8119988 0 0 76 0 0 2420220 27273 4 10424 0 0 0 0 9360 3683 8139 253 12048 0 0 0 0 0 202 1 202 27273 4 27278 12 0 12
430 20150424 20:55:33 88 0 4 1 0 2 0 5 94 5250 2499 0 298 2 3.09 2.65 2.55 2 1 4016700 3783860 232840 0 38148 2541532 43168 47868 1138860 1864400 0 8120316 328 8119988 0 0 72 0 0 2452268 26736 5 10712 0 0 0 0 9344 3706 8144 278 12039 0 0 0 0 0 198 0 199 26685 5 26690 11 0 11
440 20150424 20:55:43 92 0 4 0 0 2 0 2 98 5181 2440 0 297 2 3.09 2.67 2.56 2 0 4016700 3749892 266808 0 38140 2508800 43168 47868 1138012 1863428 0 8120316 328 8119988 0 0 64 0 0 2419544 27460 3 11070 0 0 0 0 9356 3711 8146 255 12048 0 0 0 0 0 194 0 194 27511 3 27514 21 0 21
450 20150424 20:55:53 86 0 3 1 0 2 0 7 92 5187 2430 0 297 1 3.07 2.68 2.56 1 0 4016700 3760184 256516 0 38140 2519868 43168 47868 1138512 1864044 0 8120316 328 8119988 0 0 96 0 0 2430528 26244 3 9973 0 0 0 0 9348 3694 8134 271 12027 0 0 0 0 0 186 0 186 26231 3 26234 20 0 20
460 20150424 20:56:03 91 0 3 0 0 2 0 3 97 5156 2399 0 296 2 3.12 2.70 2.57 1 0 4016700 3748984 267716 0 38148 2509096 43132 47868 1137460 1862840 0 8120316 328 8119988 0 0 76 0 0 2419740 27140 6 10810 0 0 0 0 9320 3707 8161 268 12042 0 0 0 0 0 183 1 184 27140 6 27145 30 0 30
470 20150424 20:56:13 87 0 4 1 0 2 0 6 93 5178 2323 1 296 2 3.49 2.80 2.61 2 0 4016700 3750852 265848 0 38140 2508492 43156 47868 1138616 1864336 0 8120316 328 8119988 0 0 68 0 0 2419380 25637 2 11068 0 0 0 0 9340 3705 8148 275 12048 0 0 0 0 0 191 0 192 25637 2 25638 10 0 10
480 20150424 20:56:23 91 0 3 0 0 2 0 3 97 5170 2287 0 296 1 3.26 2.77 2.60 1 0 4016700 3808396 208304 0 38140 2567276 43160 47868 1138856 1864340 0 8120316 328 8119988 0 0 76 0 0 2477996 25369 3 11294 0 0 0 0 9344 3731 8143 265 12048 0 0 0 0 0 192 0 193 25382 3 25385 6 0 6
490 20150424 20:56:33 89 0 3 1 0 2 0 5 94 5179 2373 1 297 2 3.38 2.81 2.61 2 2 4016700 3749620 267080 0 38140 2507304 43160 47868 1138924 1864304 0 8120316 328 8119988 0 0 48 0 0 2418152 26538 8 10682 0 0 0 0 9336 3710 8149 263 12048 0 0 0 0 0 192 1 193 26474 8 26482 16 0 16
500 20150424 20:56:43 86 0 3 2 0 2 0 7 92 5173 2395 1 300 2 3.63 2.88 2.64 2 0 4016700 3762052 254648 0 38148 2518924 43168 47868 1139384 1864732 0 8120316 328 8119988 0 0 56 0 0 2429724 26865 2 9900 0 0 0 0 9356 3727 8147 273 12048 0 0 0 0 0 191 0 191 26890 2 26892 20 0 20
510 20150424 20:56:53 85 0 3 2 0 2 0 7 91 5179 2377 0 300 2 3.60 2.90 2.65 2 2 4016700 3758760 257940 0 38148 2515904 43220 47868 1139516 1865016 0 8120316 328 8119988 0 0 76 0 0 2426648 26445 4 8120 0 0 0 0 9404 3679 8146 264 12048 0 0 0 0 0 182 1 182 26432 4 26436 25 0 25
520 20150424 20:57:03 83 0 3 2 0 2 0 9 89 5172 2351 1 301 3 3.51 2.91 2.65 2 2 4016700 3763968 252732 0 38156 2521952 43200 47868 1138416 1863936 0 8120316 328 8119988 0 0 80 0 0 2432712 25738 3 9053 0 0 0 0 9392 3699 8146 266 12048 0 0 0 0 0 179 0 179 25725 3 25728 23 0 23
530 20150424 20:57:13 84 0 4 4 0 2 0 6 90 5181 2365 0 301 2 3.28 2.88 2.65 2 2 4016700 3751304 265396 0 38156 2509384 43188 47868 1138244 1863868 0 8120316 328 8119988 0 0 72 0 0 2420104 26339 4 10138 0 0 0 0 9372 3682 8141 265 12044 0 0 0 0 0 184 1 184 26275 4 26278 22 0 22
540 20150424 20:57:23 80 0 3 7 0 2 0 7 86 5172 2273 1 299 1 2.93 2.81 2.63 1 1 4016700 3753536 263164 0 38140 2514544 43212 47868 1136844 1862296 0 8120316 328 8119988 0 0 64 0 0 2425340 24969 2 9103 0 0 0 0 9396 3688 8145 269 12048 0 0 0 0 0 175 0 176 25020 2 25022 21 0 21
550 20150424 20:57:33 89 0 4 5 0 2 0 1 95 5189 2328 0 301 2 3.39 2.92 2.66 2 4 4016700 3778468 238232 0 38148 2534560 43196 47868 1140296 1865580 0 8120316 328 8119988 0 0 72 0 0 2445312 27463 8 9655 0 0 0 0 9376 3666 8142 254 12048 0 0 0 0 0 186 1 186 27412 8 27419 29 1 29
560 20150424 20:57:43 70 0 3 15 0 2 0 10 75 5192 2242 0 301 3 3.33 2.92 2.67 2 2 4016700 3754536 262164 0 38140 2512292 43208 47868 1139392 1864804 0 8120316 328 8119988 0 0 72 0 0 2422988 24218 2 7839 0 0 0 0 9392 3693 8153 287 12048 0 0 0 0 0 173 0 173 24205 2 24206 17 0 17
570 20150424 20:57:53 92 0 3 1 0 2 0 1 98 5181 2315 0 300 1 3.50 2.97 2.69 1 1 4016700 3749220 267480 0 38140 2508232 43228 47868 1139816 1865204 0 8120316 328 8119988 0 0 80 0 0 2418920 27314 3 9847 0 0 0 0 9416 3666 8139 251 12048 0 0 0 0 0 185 1 186 27366 3 27369 28 0 28
580 20150424 20:58:03 76 0 3 12 0 2 0 7 81 5176 2231 1 301 3 3.67 3.02 2.71 2 6 4016700 3752568 264132 0 38148 2510440 43232 47868 1138648 1864336 0 8120316 328 8119988 0 0 84 0 0 2421084 24577 5 9140 0 0 0 0 9412 3685 8149 273 12048 0 0 0 0 0 170 1 171 24497 5 24502 22 0 23
590 20150424 20:58:13 91 0 4 3 0 2 0 0 97 5152 2262 0 300 2 3.94 3.10 2.74 2 2 4016700 3751404 265296 0 38148 2511212 43188 47868 1138196 1863700 0 8120316 328 8119988 0 0 84 0 0 2421868 27361 1 10743 0 0 0 0 9376 3732 8186 255 12034 0 0 0 0 0 180 0 181 27441 1 27442 35 0 35
600 20150424 20:58:23 77 0 3 6 0 2 0 11 83 5114 2217 1 301 2 4.03 3.15 2.76 2 5 4016700 3755396 261304 0 38148 2512248 43196 47868 1139592 1864900 0 8120316 328 8119988 0 0 76 0 0 2422856 24972 4 8024 0 0 0 0 9384 3696 8151 275 12048 0 0 0 0 0 165 1 166 24934 4 24937 31 0 31
610 20150424 20:58:33 85 0 3 0 0 2 0 10 90 5098 2242 0 300 0 3.78 3.13 2.75 0 0 4016700 3760952 255748 0 38148 2521848 43188 47868 1137964 1863332 0 8120316 328 8119988 0 0 68 0 0 2432604 25441 6 9932 0 0 0 0 9368 3674 8142 257 12049 0 0 0 0 0 176 0 176 25556 6 25563 24 0 25
620 20150424 20:58:43 86 0 3 2 0 2 0 6 91 5179 2376 0 301 2 3.74 3.14 2.76 2 0 4016700 3754504 262196 0 38156 2511920 43160 47868 1139264 1864484 0 8120316 328 8119988 0 0 68 0 0 2422624 27288 4 7846 0 0 0 0 9348 3676 8142 259 12047 0 0 0 0 0 190 1 190 27224 4 27228 24 0 24
630 20150424 20:58:53 78 0 3 3 0 2 0 15 82 5130 2314 1 301 2 3.39 3.09 2.75 2 0 4016700 3755760 260940 0 38148 2513300 43188 47868 1139272 1864776 0 8120316 328 8119988 0 0 96 0 0 2423996 25177 2 7906 0 0 0 0 9372 3673 8148 273 12048 0 0 0 0 0 178 0 178 25177 2 25179 20 0 20
640 20150424 20:59:03 94 0 4 0 0 2 0 0 100 5188 2413 0 300 2 3.25 3.07 2.75 2 0 4016700 3749420 267280 0 38148 2507316 43160 47868 1139260 1864588 0 8120316 328 8119988 0 0 80 0 0 2417924 27979 4 9736 0 0 0 0 9356 3683 8139 252 12048 0 0 0 0 0 191 1 192 28030 4 28034 28 0 28
650 20150424 20:59:13 83 0 3 4 0 2 0 8 89 5184 2375 1 301 2 3.06 3.03 2.74 2 0 4016700 3750312 266388 0 38148 2508244 43188 47868 1138064 1863400 0 8120316 328 8119988 0 0 68 0 0 2418920 26381 4 10036 0 0 0 0 9372 3673 8139 253 12048 0 0 0 0 0 186 1 186 26368 4 26372 21 0 21
660 20150424 20:59:23 94 0 4 0 0 2 0 0 100 5173 2392 0 300 2 3.13 3.05 2.75 2 1 4016700 3750024 266676 0 38148 2508980 43144 47868 1137464 1862704 0 8120316 328 8119988 0 0 80 0 0 2419800 27947 1 11549 0 0 0 0 9336 3680 8139 252 12048 0 0 0 0 0 194 0 195 27909 1 27910 24 0 24
