Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
250 20150424 15:19:23 96 0 4 0 0 0 0 0 100 1076 2077 0 291 3 2.57 2.49 2.36 4 0 4016700 3773992 242708 0 8304 2622644 19508 47804 1102392 1907456 0 8120316 0 8120316 0 0 100 0 0 2523400 16582 3 10456 0 0 0 0 8852 28 29 13 34 0 1 0 0 0 128 0 128 16594 3 16598 2 0 2
260 20150424 15:19:33 96 0 4 0 0 0 0 0 100 1030 2042 1 291 4 2.63 2.51 2.37 4 0 4016700 3774588 242112 0 8312 2624716 19480 47804 1100216 1905048 0 8120316 0 8120316 0 0 68 0 0 2525560 16780 12 10016 0 0 0 0 8820 22 10 19 2 0 1 0 0 0 129 2 131 16792 12 16804 2 1 3
270 20150424 15:19:43 96 0 3 0 0 0 0 0 100 1026 2045 0 291 2 2.69 2.53 2.38 2 0 4016700 3763544 253156 0 8308 2612176 19460 47804 1102056 1907200 0 8120316 0 8120316 0 0 68 0 0 2513048 16615 1 10438 0 0 0 0 8816 11 2 2 1 0 1 0 0 0 129 0 129 16615 1 16616 1 0 2
280 20150424 15:19:53 96 0 4 0 0 0 0 0 100 1031 2050 1 291 2 2.59 2.51 2.37 2 0 4016700 3754864 261836 0 8300 2604184 19464 47804 1100644 1905512 0 8120316 0 8120316 0 0 92 0 0 2504892 16993 0 10374 0 0 0 0 8816 21 28 2 38 0 0 0 0 0 132 0 132 16993 0 16993 1 0 1
290 20150424 15:20:03 96 0 4 0 0 0 0 0 100 1031 2051 1 291 2 2.57 2.51 2.37 2 0 4016700 3767768 248932 0 8308 2617572 19488 47804 1100940 1905764 0 8120316 0 8120316 0 0 76 0 0 2518168 16800 7 10275 2 0 0 0 8828 8 3 2 1 0 0 0 0 0 131 1 132 16800 7 16808 3 0 3
300 20150424 15:20:13 96 0 3 0 0 0 0 0 100 1071 2076 1 291 2 2.56 2.51 2.37 2 0 4016700 3757848 258852 0 8300 2606932 19484 47804 1101016 1905964 0 8120316 0 8120316 0 0 104 0 0 2507664 16808 7 8759 0 0 0 0 8832 40 37 29 37 0 0 0 0 0 128 1 129 16808 7 16815 4 1 4
310 20150424 15:20:23 96 0 3 0 0 0 0 0 100 1043 2017 0 291 2 2.70 2.54 2.39 2 0 4016700 3799000 217700 0 8300 2649080 19460 47804 1100816 1905800 0 8120316 0 8120316 0 0 104 0 0 2549648 16269 0 10971 0 0 0 0 8816 20 8 18 2 0 1 0 0 0 127 0 127 16269 0 16269 0 0 0
320 20150424 15:20:33 96 0 3 0 0 0 0 0 100 1112 2120 1 291 2 2.60 2.52 2.38 2 0 4016700 3773852 242848 0 8292 2623500 19492 47804 1101564 1906464 0 8120316 0 8120316 0 0 92 0 0 2524044 16684 7 10805 0 0 0 0 8832 31 47 3 65 0 1 0 0 0 127 1 128 16684 7 16691 4 0 4
330 20150424 15:20:43 96 0 4 0 0 0 0 0 100 1100 2120 0 291 2 2.58 2.52 2.38 2 0 4016700 3762436 254264 0 8308 2611788 19480 47804 1101664 1906556 0 8120316 0 8120316 0 0 48 0 0 2512580 16474 9 9854 0 0 0 0 8824 29 14 29 3 0 1 0 0 0 128 2 129 16474 9 16483 2 0 2
340 20150424 15:20:53 96 0 4 0 0 0 0 0 100 1088 2096 1 292 2 2.50 2.50 2.38 2 0 4016700 3797404 219296 0 8308 2646284 19468 47804 1101380 1906476 0 8120316 0 8120316 0 0 80 0 0 2546848 17053 2 10500 0 0 0 0 8824 27 30 12 35 0 1 0 0 0 131 0 132 17028 2 17030 2 0 2
