Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
250 20150425 13:34:23 74 0 3 19 0 1 0 2 79 5180 2203 1 301 2 6.04 4.77 4.19 2 7 4016700 3784412 232288 0 58952 2498184 41816 48012 1164660 1867884 0 8120316 1052 8119264 0 0 84 0 0 2376564 26946 2 9911 0 0 0 0 9288 3742 8199 257 12047 0 0 0 0 0 181 0 182 26843 2 26845 29 0 30
260 20150425 13:34:33 78 0 4 15 0 3 0 0 85 5163 2162 0 300 2 6.73 4.96 4.25 2 6 4016700 3766696 250004 0 58952 2480728 41844 48012 1163272 1866304 0 8120316 1052 8119264 0 0 64 0 0 2359284 27411 6 10708 0 0 0 0 9304 3736 8212 256 12047 0 0 0 0 0 188 0 188 27449 6 27456 27 0 28
270 20150425 13:34:43 61 0 3 25 0 2 0 9 65 5144 2129 1 301 2 6.55 4.98 4.27 2 7 4016700 3762480 254220 0 58952 2475588 41844 48012 1164356 1867368 0 8120316 1052 8119264 0 0 44 0 0 2354004 24039 4 4101 0 0 0 0 9308 3735 8184 313 12046 0 0 0 0 0 162 1 163 24013 4 24018 27 0 27
280 20150425 13:34:53 89 0 3 2 0 1 0 5 93 5218 2487 1 301 2 6.00 4.91 4.25 2 2 4016700 3757016 259684 0 58960 2468804 41832 48012 1166060 1869084 0 8120316 1052 8119264 0 0 56 0 0 2347252 29676 4 3981 0 0 0 0 9292 3676 8146 252 12048 0 0 0 0 0 200 1 201 29753 4 29757 33 0 33
290 20150425 13:35:03 83 0 3 4 0 2 0 7 89 5177 2436 1 303 3 5.46 4.84 4.24 2 5 4016700 3750700 266000 0 58956 2462812 41904 48012 1165512 1869188 0 8120316 1052 8119264 0 0 76 0 0 2341324 28303 2 7381 2 0 0 0 9288 3680 8147 271 12048 0 0 0 0 0 196 0 196 28303 2 28304 28 0 28
300 20150425 13:35:13 72 0 4 9 0 2 0 13 77 5228 2401 1 302 2 5.01 4.76 4.22 2 1 4016700 3749576 267124 0 58964 2463648 41860 48012 1162968 1866276 0 8120316 1052 8119264 0 0 64 0 0 2342220 26430 10 9647 0 0 0 0 9288 3669 8150 274 12048 0 0 0 0 0 187 1 189 26533 10 26543 21 1 22
310 20150425 13:35:23 86 0 4 3 0 3 0 4 93 5192 2456 0 302 3 4.70 4.70 4.20 3 0 4016700 3796696 220004 0 58972 2513396 41844 48012 1162180 1865304 0 8120316 1052 8119264 0 0 60 0 0 2392060 28904 4 9851 0 0 0 0 9288 3655 8142 261 12048 0 0 0 0 0 199 1 200 28904 4 28909 27 0 27
320 20150425 13:35:33 85 0 4 4 0 2 0 5 91 5184 2425 0 302 2 4.53 4.66 4.20 2 2 4016700 3750228 266472 0 58972 2462960 41860 48012 1164420 1867512 0 8120316 1052 8119264 0 0 56 0 0 2341540 29272 4 10487 0 0 0 0 9320 3661 8140 252 12048 0 0 0 0 0 202 0 202 29170 4 29174 26 0 27
330 20150425 13:35:43 77 0 3 6 0 2 0 12 82 5182 2386 1 303 1 4.73 4.70 4.22 1 0 4016700 3760124 256576 0 58980 2476876 41832 48012 1162912 1866172 0 8120316 1052 8119264 0 0 68 0 0 2355348 26573 5 9495 0 0 0 0 9300 3692 8150 283 12048 0 0 0 0 0 187 1 187 26676 5 26681 22 0 22
340 20150425 13:35:53 92 0 4 0 0 3 0 1 99 5204 2478 0 301 1 4.39 4.63 4.20 1 0 4016700 3760464 256236 0 58972 2476240 41808 48012 1163148 1866252 0 8120316 1052 8119264 0 0 60 0 0 2354808 30185 2 12751 0 0 0 0 9272 3652 8138 250 12048 0 0 0 0 0 210 0 210 30198 2 30199 26 0 26
